Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners/8F5983DE-48B8-4557-873D-0002AC1A0131?useIndex=true&useCache=true&devNull=true,118,0,47,63.98305084686569,46.000000002095476,703.0000000086147,0.0,0.1973140839817442,0.0,47,62,63,63,63,63,230,300,700,700,700
GET,/owners?breed=Greyhound&dog=Sandy&useIndex=true&useCache=true&devNull=true,94,0,47,79.18085106444158,46.000000002095476,859.0000000258442,0.0,0.15718240588376234,0.0,47,62,63,63,63,140,730,860,860,860,860
GET,/owners?countryCode=CA&useIndex=true&useCache=true&devNull=true,94,0,62,83.40425532065986,46.000000002095476,1016.0000000032596,0.0,0.15718240588376234,0.0,62,63,63,63,78,79,980,1000,1000,1000,1000
GET,/owners?dogId=8ABF7EEB-EFFC-473F-912A-1293BDEC74A4&useIndex=true&useCache=true&devNull=true,134,0,47,93.58208955229962,46.000000002095476,1078.9999999979045,0.0,0.22406853604706545,0.0,47,62,62,63,78,340,700,980,1100,1100,1100
GET,/owners?firstName=Yoselin&lastName=Gilmore&useIndex=true&useCache=true&devNull=true,111,0,47,74.62162162210826,46.000000002095476,1000.0,0.0,0.18560901120316614,0.0,47,62,63,63,63,94,590,640,1000,1000,1000
,Aggregated,551,0,62,79.23049001849701,46.000000002095476,1078.9999999979045,0.0,0.9213564429995005,0.0,62,62,63,63,78,140,640,860,1100,1100,1100
