Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners/8F5983DE-48B8-4557-873D-0002AC1A0131?useIndex=false&useCache=true&devNull=true,114,0,47,79.46491228205177,30.999999988125637,1359.0000000258442,0.0,0.19033553259400307,0.0,47,47,62,62,63,78,840,1000,1400,1400,1400
GET,/owners?breed=Greyhound&dog=Sandy&useIndex=false&useCache=true&devNull=true,111,0,47,85.58558558532339,30.999999988125637,1032.0000000065193,0.0,0.18532670278889773,0.0,47,47,47,62,63,200,890,1000,1000,1000,1000
GET,/owners?countryCode=CA&useIndex=false&useCache=true&devNull=true,101,0,62,93.11881188290553,46.000000002095476,1000.0,0.0,0.16863060343854658,0.0,62,63,63,63,78,170,730,970,1000,1000,1000
GET,/owners?dogId=8ABF7EEB-EFFC-473F-912A-1293BDEC74A4&useIndex=false&useCache=true&devNull=true,117,0,47,83.62393162330676,30.999999988125637,2264.999999984866,0.0,0.1953443623991084,0.0,47,47,47,62,63,120,720,770,2300,2300,2300
GET,/owners?firstName=Yoselin&lastName=Gilmore&useIndex=false&useCache=true&devNull=true,106,0,47,83.30188679288115,31.000000017229468,1014.999999984866,0.0,0.17697865311372216,0.0,47,47,62,62,78,160,860,920,1000,1000,1000
,Aggregated,549,0,47,84.84153005513761,30.999999988125637,2264.999999984866,0.0,0.916615854334278,0.0,47,62,62,63,78,140,860,1000,2300,2300,2300
