Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/owners/8F5983DE-48B8-4557-873D-0002AC1A0131?useIndex=false&useCache=false&devNull=true,107,0,78,87.04672897018048,62.000000005355105,266.00000000325963,0.0,0.17859721216944477,0.0,78,79,93,94,94,120,170,220,270,270,270
GET,/owners?breed=Greyhound&dog=Sandy&useIndex=false&useCache=false&devNull=true,90,0,110.0,147.65555555511835,92.99999999348074,437.0000000053551,0.0,0.15022195416121523,0.0,110,110,120,190,340,360,390,440,440,440,440
GET,/owners?countryCode=CA&useIndex=false&useCache=false&devNull=true,105,0,120.0,137.628571429689,108.99999999674037,344.00000001187436,0.0,0.17525894652141774,0.0,120,120,140,140,140,220,310,310,340,340,340
GET,/owners?dogId=8ABF7EEB-EFFC-473F-912A-1293BDEC74A4&useIndex=false&useCache=false&devNull=true,116,0,78,86.58620689700534,62.000000005355105,344.00000001187436,0.0,0.19361940758556628,0.0,78,79,93,94,94,110,160,230,340,340,340
GET,/owners?firstName=Yoselin&lastName=Gilmore&useIndex=false&useCache=false&devNull=true,110,0,78,189.0999999984739,62.999999994644895,10969.000000011874,0.0,0.18360461064148526,0.0,78,93,94,94,94,120,230,390,11000,11000,11000
,Aggregated,528,0,94,128.5965909086592,62.000000005355105,10969.000000011874,0.0,0.8813021310791292,0.0,94,110,120,120,140,220,340,360,11000,11000,11000
