Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/breeds/9C468727-01AC-462D-9392-404CAEC2282E?useIndex=true&useCache=false&devNull=true,136,0,78,86.86764706063138,62.999999965541065,454.00000002700835,0.0,0.22728168105372487,0.0,78,78,79,93,94,110,190,270,450,450,450
GET,/breeds?group=Working&dog=Baxter&useIndex=true&useCache=false&devNull=true,139,0,78,93.96402877730337,61.999999976251274,672.0000000204891,0.0,0.23229524754755704,0.0,78,93,94,94,110,140,220,300,670,670,670
GET,/breeds?groupId=C6860975-68A0-46D3-8B32-F297BA14B070&useIndex=true&useCache=false&devNull=true,145,0,78,86.12413793071654,61.999999976251274,578.0000000377186,0.0,0.24232238053522137,0.0,78,78,79,94,94,94,170,250,580,580,580
GET,/breeds?popularity=125&useIndex=true&useCache=false&devNull=true,127,0,78,83.02362204674176,61.999999976251274,233.99999999674037,0.0,0.21224098157222837,0.0,78,78,79,93,94,110,120,190,230,230,230
,Aggregated,547,0,78,87.58135283396918,61.999999976251274,672.0000000204891,0.0,0.9141402907087316,0.0,78,79,93,94,94,110,190,250,670,670,670
