Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/breeds/9C468727-01AC-462D-9392-404CAEC2282E?useIndex=false&useCache=true&devNull=true,129,0,47,77.6666666632843,45.999999972991645,1078.0000000377186,0.0,0.21553506169609954,0.0,47,62,62,63,63,94,730,810,1100,1100,1100
GET,/breeds?group=Working&dog=Baxter&useIndex=false&useCache=true&devNull=true,155,0,47,95.05806451648354,30.999999959021807,1125.0,0.0,0.25897623692167,0.0,47,62,62,63,63,270,920,1100,1100,1100,1100
GET,/breeds?groupId=C6860975-68A0-46D3-8B32-F297BA14B070&useIndex=false&useCache=true&devNull=true,136,0,78,102.1029411781723,61.999999976251274,1092.9999999934807,0.0,0.2272307627183685,0.0,78,78,79,79,94,110,730,920,1100,1100,1100
GET,/breeds?popularity=125&useIndex=false&useCache=true&devNull=true,123,0,47,112.29268292805588,45.999999972991645,1079.0000000270084,0.0,0.20551017510558328,0.0,47,62,62,63,63,720,950,1100,1100,1100,1100
,Aggregated,543,0,62,96.59484346224849,30.999999959021807,1125.0,0.0,0.9072522364417213,0.0,62,63,78,78,93,240,920,1100,1100,1100,1100
