Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/breeds/9C468727-01AC-462D-9392-404CAEC2282E?useIndex=true&useCache=true&devNull=true,142,0,47,74.29577464534586,45.999999972991645,1218.9999999827705,0.0,0.23704091342658687,0.0,47,62,62,62,63,78,550,1000,1200,1200,1200
GET,/breeds?group=Working&dog=Baxter&useIndex=true&useCache=true&devNull=true,130,0,47,78.78461538572222,30.999999959021807,1079.0000000270084,0.0,0.21700928693983304,0.0,47,62,62,63,63,120,750,1000,1100,1100,1100
GET,/breeds?groupId=C6860975-68A0-46D3-8B32-F297BA14B070&useIndex=true&useCache=true&devNull=true,119,0,78,109.36974790074447,61.999999976251274,1078.0000000377186,0.0,0.1986469626603087,0.0,78,78,78,79,94,200,730,1100,1100,1100,1100
GET,/breeds?popularity=125&useIndex=true&useCache=true&devNull=true,158,0,47,85.6898734191303,30.999999959021807,1016.0000000032596,0.0,0.2637497487422586,0.0,47,62,62,63,63,140,890,1000,1000,1000,1000
,Aggregated,549,0,62,86.24043715882364,30.999999959021807,1218.9999999827705,0.0,0.9164469117689872,0.0,62,63,78,78,79,140,800,1000,1200,1200,1200
