Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dogs/64F67DAB-5E32-4A7F-9655-0000210A4708?useIndex=false&useCache=true&devNull=true,1257,6,62,172.08830548963246,30.999999988125637,5937.999999994645,0.0,2.098263614826107,0.010015578113728435,62,63,63,63,79,520,2600,3600,5800,5900,5900
GET,/dogs?group=Sporting&countryCode=CA&useIndex=false&useCache=true&devNull=true,1205,3,62,240.36431535228283,31.000000017229468,10343.99999998277,0.0,2.0114619378404606,0.005007789056864218,62,63,63,78,94,610,4500,6000,9600,10000,10000
GET,/dogs?name=Tucker&breed=Labrador%20Retriever&useIndex=false&useCache=true&devNull=true,1183,6,62,198.45984784455416,30.999999988125637,8875.0,0.0,1.9747381514234563,0.010015578113728435,62,63,63,63,94,590,2800,4500,6200,8900,8900
GET,/dogs?ownerFirstName=Dax&ownerLastName=Christian&useIndex=false&useCache=true&devNull=true,1245,2,62,228.11004016066838,30.999999988125637,8344.000000011874,0.0,2.07823245859865,0.003338526037909478,62,63,63,63,94,590,4100,5900,7200,8300,8300
,Aggregated,4890,17,62,209.5560327198586,30.999999988125637,10343.99999998277,0.0,8.162696162688674,0.028377471322230566,62,63,63,63,94,590,3000,5100,7300,10000,10000
