Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dogs/64F67DAB-5E32-4A7F-9655-0000210A4708?useIndex=true&useCache=true&devNull=true,144,0,47,98.11805555586437,46.000000002095476,1171.9999999913853,0.0,0.24053389397300093,0.0,47,47,62,63,63,250,1100,1100,1200,1200,1200
GET,/dogs?group=Sporting&countryCode=CA&useIndex=true&useCache=true&devNull=true,133,0,62,99.33082706752738,46.000000002095476,1296.9999999913853,0.0,0.2221597770722856,0.0,62,62,63,63,78,300,940,1200,1300,1300,1300
GET,/dogs?name=Tucker&breed=Labrador%20Retriever&useIndex=true&useCache=true&devNull=true,139,0,47,108.98561151145468,46.000000002095476,1109.9999999860302,0.0,0.23218202265449397,0.0,47,62,63,63,94,690,980,1000,1100,1100,1100
GET,/dogs?ownerFirstName=Dax&ownerLastName=Christian&useIndex=true&useCache=true&devNull=true,124,0,47,90.75806451390588,46.000000002095476,1266.0000000032596,0.0,0.20712640869897303,0.0,47,62,62,63,63,94,1000,1100,1300,1300,1300
,Aggregated,540,0,47,99.52407407378175,46.000000002095476,1296.9999999913853,0.0,0.9020021023987536,0.0,47,62,63,63,78,560,1000,1100,1300,1300,1300
