Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dogs/64F67DAB-5E32-4A7F-9655-0000210A4708?useIndex=false&useCache=false&devNull=true,186,0,740.0,860.4999999986694,375.0,3421.0000000020955,0.0,0.3131223895670573,0.0,740,800,840,890,1500,1800,2100,2700,3400,3400,3400
GET,/dogs?group=Sporting&countryCode=CA&useIndex=false&useCache=false&devNull=true,193,0,10000.0,10016.419689118538,1750.0,13000.0,0.0,0.32490656551850566,0.0,10000,10000,11000,11000,11000,12000,13000,13000,13000,13000,13000
GET,/dogs?name=Tucker&breed=Labrador%20Retriever&useIndex=false&useCache=false&devNull=true,211,0,5200.0,5303.004739337084,2687.000000005355,8219.000000011874,0.0,0.3552087322508015,0.0,5200,5500,5700,5800,6000,6500,7200,7400,8200,8200,8200
GET,/dogs?ownerFirstName=Dax&ownerLastName=Christian&useIndex=false&useCache=false&devNull=true,195,0,9700.0,9577.092307692734,3171.0000000020955,12921.000000002095,0.0,0.3282734729332052,0.0,9700,10000,10000,10000,11000,11000,12000,13000,13000,13000,13000
,Aggregated,785,0,6500.0,6470.941401273674,375.0,13000.0,0.0,1.3215111602695697,0.0,6500,9500,9900,10000,10000,11000,12000,12000,13000,13000,13000
