Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dogs/64F67DAB-5E32-4A7F-9655-0000210A4708?useIndex=true&useCache=false&devNull=true,1352,0,94,116.74482248553534,62.000000005355105,921.9999999913853,0.0,2.256955176227544,0.0,94,110,120,140,190,250,330,360,750,920,920
GET,/dogs?group=Sporting&countryCode=CA&useIndex=true&useCache=false&devNull=true,1259,0,110.0,140.01191421772089,77.9999999795109,921.9999999913853,0.0,2.101706040584673,0.0,110,120,160,170,220,270,340,390,830,920,920
GET,/dogs?name=Tucker&breed=Labrador%20Retriever&useIndex=true&useCache=false&devNull=true,1346,0,94,124.40936107010813,62.999999994644895,890.9999999741558,0.0,2.2469391029602623,0.0,94,110,120,140,200,270,340,360,780,890,890
GET,/dogs?ownerFirstName=Dax&ownerLastName=Christian&useIndex=true&useCache=false&devNull=true,1293,0,94,122.06187161621664,62.000000005355105,812.9999999946449,0.0,2.158463789099271,0.0,94,110,120,140,200,250,340,380,580,810,810
,Aggregated,5250,0,94,125.59904761917866,62.000000005355105,921.9999999913853,0.0,8.76406410887175,0.0,94,110,140,160,200,270,340,380,780,920,920
